line_no,timestamp,selector_id,description_case_id,image_id,image_label,domain,model_predicted_class,role,education_level,ai_knowledge_level,domain_knowledge_level,preferred_response_length,preferred_technical_level,preferred_format,preferred_explanation_types_raw,main_goals_raw,perceived_error_impact,recommended_option,recommended_method,neighbor_case_id,neighbor_similarity,solution_length,solution_technical_level,solution_structure,solution_format,k_instances,k_counterexamples,n_counterexamples_returned,convinced,rating,acceptance,satisfaction,confidence,understanding,requested_change,alternatives_exhausted,iteration,explanation_chars,explanation_words,date,convinced_bool,demo_run_id,interaction_id
33,2026-06-17 18:50:45,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Prefiero no contestar,Grado,2,2,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.8008460607235484,media,tecnico,pasos,Texto breve + imagen,3,2,2,False,,,,,,,False,1,1358,220,2026-06-17,False,5,5::aguila_0031229b7741a1d7
34,2026-06-17 19:02:08,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Prefiero no contestar,Grado,2,2,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Satisfacción: que la explicación resulte clara y útil para ti, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema",Alto: el error podría tener consecuencias importantes,Opción A,anchor,C0210,0.7876493448073644,media,tecnico,pasos,Texto detallado + imagen,3,2,2,True,2.0,2.0,3.0,2.0,2.0,,False,2,1519,241,2026-06-17,True,5,5::aguila_0031229b7741a1d7
35,2026-06-17 20:02:12,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,"Estudiante, Investigador/a (academico)",Master,5,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.4609170786782528,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,5.0,5.0,5.0,4.0,5.0,,False,1,1448,229,2026-06-17,True,6,6::vaca_00e6ccb5516d6bdf
36,2026-06-17 20:06:21,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,"Estudiante, Investigador/a (academico)",Master,5,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.459239520293144,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,4.0,5.0,4.0,4.0,5.0,,False,1,1420,216,2026-06-17,True,6,6::wallaby_008fb78fa0fd8744
37,2026-06-17 20:09:55,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,"Estudiante, Investigador/a (academico)",Master,5,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.8068113994657594,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,5.0,5.0,5.0,4.0,5.0,,False,1,1309,212,2026-06-17,True,6,6::aguila_0031229b7741a1d7
38,2026-06-17 20:17:20,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,Estudiante,Bachillerato/FP,3,1,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.41359582898349045,media,tecnico,pasos,Texto breve + imagen,3,2,2,False,,,,,,,False,1,1254,196,2026-06-17,False,6,6::vaca_00e6ccb5516d6bdf
39,2026-06-17 20:18:28,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,Estudiante,Bachillerato/FP,3,1,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones centradas en atributos o características concretas","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti",Alto: el error podría tener consecuencias importantes,Opción A,anchor,C0204,0.45971972154327867,media,tecnico,tabla,Texto detallado + imagen,3,2,2,False,,,,,,,False,2,1183,182,2026-06-17,False,6,6::vaca_00e6ccb5516d6bdf
40,2026-06-17 20:19:16,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,Estudiante,Bachillerato/FP,3,1,Larga: explicación completa y detallada,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Principalmente visual,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Satisfacción: que la explicación resulte clara y útil para ti",Medio: el error podría causar cierta confusión o problema,Opción E,saliency,C0040,0.4261381827211759,larga,tecnico,pasos,Principalmente visual,3,0,2,True,4.0,4.0,3.0,3.0,4.0,,False,3,1596,245,2026-06-17,True,6,6::vaca_00e6ccb5516d6bdf
41,2026-06-17 20:20:44,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,Estudiante,Bachillerato/FP,3,1,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.4119182705983817,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,4.0,3.0,4.0,3.0,4.0,,False,1,1774,274,2026-06-17,True,6,6::wallaby_008fb78fa0fd8744
42,2026-06-17 20:22:24,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Estudiante,Bachillerato/FP,3,1,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.759490149770997,media,tecnico,pasos,Texto breve + imagen,3,2,2,False,,,,,,,False,1,1494,231,2026-06-17,False,6,6::aguila_0031229b7741a1d7
43,2026-06-17 20:24:57,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Estudiante,Bachillerato/FP,3,1,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto detallado + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema, Satisfacción: que la explicación resulte clara y útil para ti, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema",Alto: el error podría tener consecuencias importantes,Opción A,anchor,C0210,0.7357360145822027,media,tecnico,pasos,Texto detallado + imagen,3,2,2,False,,,,,,,False,2,1359,212,2026-06-17,False,6,6::aguila_0031229b7741a1d7
44,2026-06-17 20:25:44,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Estudiante,Bachillerato/FP,3,1,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Confianza: sentir mayor seguridad en la respuesta del sistema, Efectividad: recibir una explicación útil para realizar mejor la tarea, Satisfacción: que la explicación resulte clara y útil para ti, Persuasión: convencerte de que la decisión del sistema está justificada, Detección de errores(Debugging): detectar fallos, errores o comportamientos inesperados del sistema, Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema, Escrutinio: evaluar críticamente si la decisión del sistema es adecuada, razonable o justa",Medio: el error podría causar cierta confusión o problema,Opción C,integrated_gradients,C0243,0.7743890393030085,corta,simple,tabla,Texto breve + imagen,3,2,2,False,,,,,,,False,3,1314,207,2026-06-17,False,6,6::aguila_0031229b7741a1d7
45,2026-06-17 20:26:10,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Estudiante,Bachillerato/FP,3,1,Corta: solo lo esencial,Simple: lenguaje claro y sin tecnicismos,Me da igual,No tengo preferencia / me da igual,"Educación: aprender más sobre la imagen, el problema o el funcionamiento del sistema",Medio: el error podría causar cierta confusión o problema,Opción E,saliency,C0133,0.6633970093479389,corta,simple,lista,Me da igual,3,0,2,True,3.0,3.0,2.0,3.0,3.0,,False,4,833,133,2026-06-17,True,6,6::aguila_0031229b7741a1d7
46,2026-06-17 20:30:41,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,Desempleado/a / en busqueda,Prefiero no contestar,2,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.44334697040999016,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,5.0,5.0,5.0,4.0,5.0,,False,1,1184,181,2026-06-17,True,6,6::vaca_00e6ccb5516d6bdf
47,2026-06-17 20:33:14,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,Desempleado/a / en busqueda,Prefiero no contestar,2,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.44166941202488136,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,5.0,5.0,5.0,5.0,5.0,,False,1,1548,229,2026-06-17,True,6,6::wallaby_008fb78fa0fd8744
48,2026-06-17 20:35:13,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,Desempleado/a / en busqueda,Prefiero no contestar,2,3,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.7892412911974968,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,5.0,5.0,5.0,5.0,5.0,,False,1,1594,246,2026-06-17,True,6,6::aguila_0031229b7741a1d7
49,2026-06-17 20:39:26,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,"Estudiante, Investigador/a (academico)",Master,4,4,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.4602423036245983,media,tecnico,pasos,Texto breve + imagen,3,2,2,False,,,,,,,False,1,1433,218,2026-06-17,False,6,6::vaca_00e6ccb5516d6bdf
50,2026-06-17 20:40:28,vaca_00e6ccb5516d6bdf,00e6ccb5516d6bdf,12,Imagen prueba 1 de 3,Naturaleza / animales,Buey,"Estudiante, Investigador/a (academico)",Master,4,4,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones con ejemplos similares, Explicaciones con comparaciones o contraejemplos, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Eficiencia: comprender la respuesta de forma rápida, Confianza: sentir mayor seguridad en la respuesta del sistema",Medio: el error podría causar cierta confusión o problema,Opción A,anchor,C0050,0.4896466998301976,media,tecnico,tabla,Texto breve + imagen,3,2,2,True,4.0,4.0,3.0,3.0,4.0,,False,2,1050,161,2026-06-17,True,6,6::vaca_00e6ccb5516d6bdf
51,2026-06-17 20:41:57,wallaby_008fb78fa0fd8744,008fb78fa0fd8744,13,Imagen prueba 2 de 3,Naturaleza / animales,Wallaby,"Estudiante, Investigador/a (academico)",Master,4,4,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.45856474523948954,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,4.0,4.0,4.0,4.0,4.0,,False,1,1372,209,2026-06-17,True,6,6::wallaby_008fb78fa0fd8744
52,2026-06-17 20:42:46,aguila_0031229b7741a1d7,0031229b7741a1d7,9,Imagen prueba 3 de 3,Naturaleza / animales,Aguila,"Estudiante, Investigador/a (academico)",Master,4,4,Media: explicación breve con algo de detalle,"Intermedio: algunos términos técnicos, pero fáciles de seguir",Texto breve + imagen,"Explicaciones centradas en atributos o características concretas, Explicaciones basadas en reglas o razonamientos paso a paso, Explicaciones visuales (zonas destacadas en la imagen)","Transparencia: entender por qué el sistema tomó esa decisión, Confianza: sentir mayor seguridad en la respuesta del sistema",Alto: el error podría tener consecuencias importantes,Opción B,gradcam,C0287,0.806136624412105,media,tecnico,pasos,Texto breve + imagen,3,2,2,True,4.0,5.0,4.0,5.0,4.0,,False,1,1590,247,2026-06-17,True,6,6::aguila_0031229b7741a1d7
